l2id,occasion,time,y,ycom,x,xcom,m,group
1,0,0,3.605049999,3.605049999,3.67597559,3.67597559,0,1
1,1,1,4.312678543,4.312678543,3.021865653,3.021865653,0,1
1,2,2,4.224354779,4.224354779,5.145762895,5.145762895,0,1
1,3,3,5.488012624,5.488012624,4.576447874,4.576447874,0,1
1,4,4,4.26095744,4.26095744,3.345426202,3.345426202,0,1
1,5,5,3.322512524,3.322512524,3.577952076,3.577952076,0,1
1,6,6,4.602583313,4.602583313,3.891358067,3.891358067,0,1
1,7,7,3.811473016,3.811473016,4.917882081,4.917882081,0,1
1,8,8,4.585366869,4.585366869,2.452903961,2.452903961,0,1
1,9,9,3.806318555,3.806318555,3.984420655,3.984420655,0,1
1,10,10,5.382699993,5.382699993,3.897840696,3.897840696,0,1
1,11,11,NA,5.247899597,NA,3.225062861,1,1
1,12,12,4.357718891,4.357718891,3.888277461,3.888277461,0,1
1,13,13,NA,4.670088782,NA,4.016867627,1,1
1,14,14,4.979734494,4.979734494,4.181087932,4.181087932,0,1
1,15,15,NA,4.700337944,NA,3.775910918,1,1
1,16,16,NA,5.069915995,NA,4.035171952,1,1
1,17,17,3.586955879,3.586955879,3.784799723,3.784799723,0,1
1,18,18,NA,4.351593656,NA,6.507367348,1,1
1,19,19,NA,5.918423342,NA,2.320350916,1,1
2,0,0,4.529865428,4.529865428,1.453106987,1.453106987,0,1
2,1,1,4.36579112,4.36579112,1.780209573,1.780209573,0,1
2,2,2,3.56752567,3.56752567,3.574025226,3.574025226,0,1
2,3,3,3.241587818,3.241587818,4.536456423,4.536456423,0,1
2,4,4,5.223849129,5.223849129,1.77038911,1.77038911,0,1
2,5,5,4.036118274,4.036118274,2.240285112,2.240285112,0,1
2,6,6,5.093553221,5.093553221,1.056971983,1.056971983,0,1
2,7,7,4.76578596,4.76578596,3.566744037,3.566744037,0,1
2,8,8,NA,4.701180626,NA,3.24904292,1,1
2,9,9,2.32255194,2.32255194,4.858083499,4.858083499,0,1
2,10,10,4.165433906,4.165433906,3.460762747,3.460762747,0,1
2,11,11,NA,3.857746351,NA,1.962335506,1,1
2,12,12,NA,4.930386122,NA,2.938218953,1,1
2,13,13,3.588316295,3.588316295,3.533715646,3.533715646,0,1
2,14,14,NA,5.10432994,NA,3.672602986,1,1
2,15,15,4.347871469,4.347871469,3.246985233,3.246985233,0,1
2,16,16,3.475239875,3.475239875,1.522498917,1.522498917,0,1
2,17,17,3.76104147,3.76104147,1.716197027,1.716197027,0,1
2,18,18,3.115463024,3.115463024,3.300918366,3.300918366,0,1
2,19,19,4.149451003,4.149451003,2.638631106,2.638631106,0,1
3,0,0,3.940561798,3.940561798,5.098757662,5.098757662,0,1
3,1,1,2.810215183,2.810215183,2.500941321,2.500941321,0,1
3,2,2,3.901542603,3.901542603,3.958222184,3.958222184,0,1
3,3,3,3.102767119,3.102767119,2.664008029,2.664008029,0,1
3,4,4,3.573285916,3.573285916,3.593333111,3.593333111,0,1
3,5,5,NA,3.945439756,NA,5.204978335,1,1
3,6,6,1.862977784,1.862977784,3.832771542,3.832771542,0,1
3,7,7,2.557063641,2.557063641,2.278741513,2.278741513,0,1
3,8,8,NA,4.318865494,NA,2.236876402,1,1
3,9,9,2.793852088,2.793852088,3.877493714,3.877493714,0,1
3,10,10,3.103993265,3.103993265,3.555943485,3.555943485,0,1
3,11,11,3.706077733,3.706077733,2.598527076,2.598527076,0,1
3,12,12,NA,3.701482032,NA,1.593004723,1,1
3,13,13,NA,4.536432371,NA,3.81172733,1,1
3,14,14,2.889284744,2.889284744,4.324592985,4.324592985,0,1
3,15,15,NA,3.202059968,NA,3.54721379,1,1
3,16,16,2.455460665,2.455460665,2.568761963,2.568761963,0,1
3,17,17,NA,3.438039763,NA,2.997308934,1,1
3,18,18,NA,4.20248738,NA,1.635372211,1,1
3,19,19,NA,3.773002659,NA,3.848286677,1,1
4,0,0,4.118276201,4.118276201,4.671491017,4.671491017,0,1
4,1,1,3.500609645,3.500609645,2.230325232,2.230325232,0,1
4,2,2,4.313657169,4.313657169,4.901953226,4.901953226,0,1
4,3,3,5.333286183,5.333286183,5.796015981,5.796015981,0,1
4,4,4,4.727969112,4.727969112,3.678971582,3.678971582,0,1
4,5,5,4.100728473,4.100728473,3.217235278,3.217235278,0,1
4,6,6,4.945939443,4.945939443,2.985998075,2.985998075,0,1
4,7,7,3.68168693,3.68168693,4.886965465,4.886965465,0,1
4,8,8,4.511594609,4.511594609,3.881991368,3.881991368,0,1
4,9,9,4.444634531,4.444634531,3.938402432,3.938402432,0,1
